Date,FlightNum,FuelCost
7/13/12,UBE401,3986.22
7/13/12,UBE331,6113.17
7/13/12,ANA1087,1928.84
7/13/12,RYR8552,3314.12
7/13/12,MAS3633,243.39
7/13/12,AUA914,1559.3
7/13/12,LOT4062,1559.3
7/13/12,DLH7344,1559.3
7/13/12,AFR1267,2970.02
7/13/12,CES1698,2970.02
7/13/12,KQA3807,2970.02
7/13/12,KLM2125,2970.02
7/13/12,GLO5159,2970.02
7/13/12,DAL8565,2970.02
7/13/12,VLG1502,2971.59
7/13/12,IBE5088,2971.59
7/13/12,KLM1638,3122.61
7/13/12,CES1823,3122.61
7/13/12,CXA9676,3122.61
7/13/12,KQA1638,3122.61
7/13/12,GLO5577,3122.61
7/13/12,DAL9478,3122.61
7/13/12,CSN1360,3122.61
7/13/12,DLA8861,1966.63
7/13/12,UAL9693,1966.63
7/13/12,ANA6879,1966.63
7/13/12,DLH9497,1966.63
7/13/12,ACA7375,1966.63
7/13/12,UIA8701,258.12
7/13/12,MDA348,258.12
7/13/12,MDA370,610.09
7/13/12,MDA784,310.26
7/13/12,UIA8995,393.65
7/13/12,UIA8636,310.26
7/13/12,UIA8698,258.12
7/13/12,MDA368,610.09
7/13/12,FDX1283,1085.35
7/13/12,SNJ127,2770.39
7/13/12,ANA2527,2770.39
7/13/12,CLG291,1942.3
7/13/12,H14410,759.03
7/13/12,FXT4386,759.03
7/13/12,A12386,759.03
7/13/12,BAV1212,1147.39
7/13/12,SEJ74,992.28
7/13/12,OMA312,18131.87
7/13/12,BTK6872,631.02
7/13/12,SJV874,631.02
7/13/12,CHB6419,3987.75
7/13/12,CHB6325,1580.07
7/13/12,CXA8642,1800.6
7/13/12,CSN6359,3993.87
7/13/12,CHB6319,2084.06
7/13/12,CSN3839,2025.87
7/13/12,CHB6223,4055.03
7/13/12,LKE9638,3987.75
7/13/12,CSZ9727,1895.76
7/13/12,CES5830,3323.18
7/13/12,CQH6292,2334.57
7/13/12,CGH1039,2248.92
7/13/12,CSN6593,1292.53
7/13/12,CSZ9333,2055.63
7/13/12,CSN8537,2175.89
7/13/12,CCA8302,2391.98
7/13/12,CSN8415,2938.75
7/13/12,CSN5139,2938.75
7/13/12,EPA6306,1480.89
7/13/12,LKE9525,2225.49
7/13/12,CHH7032,1895.76
7/13/12,CHH7686,2181.42
7/13/12,CSH9566,2391.98
7/13/12,CSN6726,1895.76
7/13/12,CAO8435,63186.52
7/13/12,SJV875,631.02
7/13/12,WON1749,908.41
7/13/12,SJY83,631.02
7/13/12,SJV923,631.02
7/13/12,LNI347,631.02
7/13/12,AYY108,7336.13
7/13/12,CJT956,59080.19
7/13/12,EWG844,2989.57
7/13/12,RYR2813,2057.93
7/13/12,EWG32,1162.95
7/13/12,RYR8804,6986.75
7/13/12,EWG756,2889.71
7/13/12,AUA8918,2889.71
7/13/12,EWG824,1598.07
7/13/12,RYR1404,4007.31
7/13/12,EWG,1954.04
7/13/12,EWG26,1954.04
7/13/12,EWG12,1930.91
7/13/12,ABR257,2998.32
7/13/12,VLG6228,4571.38
7/13/12,QTR5534,4571.38
7/13/12,IBE5630,4571.38
7/12/13,UBE401,4002.75
7/12/13,UBE331,6138.52
7/12/13,ANA1087,1936.84
7/12/13,RYR8552,3327.86
7/12/13,MAS3633,244.4
7/12/13,AUA914,1565.77
7/12/13,LOT4062,1565.77
7/12/13,DLH7344,1565.77
7/12/13,AFR1267,2982.33
7/12/13,CES1698,2982.33
7/12/13,KQA3807,2982.33
7/12/13,KLM2125,2982.33
7/12/13,GLO5159,2982.33
7/12/13,DAL8565,2982.33
7/12/13,VLG1502,2983.91
7/12/13,IBE5088,2983.91
7/12/13,KLM1638,3135.56
7/12/13,CES1823,3135.56
7/12/13,CXA9676,3135.56
7/12/13,KQA1638,3135.56
7/12/13,GLO5577,3135.56
7/12/13,DAL9478,3135.56
7/12/13,CSN1360,3135.56
7/12/13,DLA8861,1974.78
7/12/13,UAL9693,1974.78
7/12/13,ANA6879,1974.78
7/12/13,DLH9497,1974.78
7/12/13,ACA7375,1974.78
7/12/13,UIA8701,259.19
7/12/13,MDA348,259.19
7/12/13,MDA370,612.62
7/12/13,MDA784,311.54
7/12/13,UIA8995,395.28
7/12/13,UIA8636,311.54
7/12/13,UIA8698,259.19
7/12/13,MDA368,612.62
7/12/13,FDX1283,1089.85
7/12/13,SNJ127,2781.88
7/12/13,ANA2527,2781.88
7/12/13,CLG291,1950.35
