Date,FlightNum,FuelCost
7/13/12,ANA1087,1928.84
7/13/12,MAS3633,243.39
7/13/12,AUA914,1559.3
7/13/12,LOT4062,1559.3
7/13/12,DLH7344,1559.3
7/13/12,DLA8861,1966.63
7/13/12,UAL9693,1966.63
7/13/12,ANA6879,1966.63
7/13/12,DLH9497,1966.63
7/13/12,ACA7375,1966.63
7/13/12,UIA8701,258.12
7/13/12,MDA348,258.12
7/13/12,MDA370,610.09
7/13/12,MDA784,310.26
7/13/12,UIA8995,393.65
7/13/12,UIA8636,310.26
7/13/12,UIA8698,258.12
7/13/12,MDA368,610.09
7/13/12,FDX1283,1085.35
7/13/12,CLG291,1942.3
7/13/12,H14410,759.03
7/13/12,FXT4386,759.03
7/13/12,A12386,759.03
7/13/12,BAV1212,1147.39
7/13/12,SEJ74,992.28
7/13/12,BTK6872,631.02
7/13/12,SJV874,631.02
7/13/12,CHB6325,1580.07
7/13/12,CXA8642,1800.6
7/13/12,CSZ9727,1895.76
7/13/12,CSN6593,1292.53
7/13/12,EPA6306,1480.89
7/13/12,CHH7032,1895.76
7/13/12,CSN6726,1895.76
7/13/12,SJV875,631.02
7/13/12,WON1749,908.41
7/13/12,SJY83,631.02
7/13/12,SJV923,631.02
7/13/12,LNI347,631.02
7/13/12,EWG32,1162.95
7/13/12,EWG824,1598.07
7/13/12,EWG,1954.04
7/13/12,EWG26,1954.04
7/13/12,EWG12,1930.91
7/12/13,ANA1087,1936.84
7/12/13,MAS3633,244.4
7/12/13,AUA914,1565.77
7/12/13,LOT4062,1565.77
7/12/13,DLH7344,1565.77
7/12/13,DLA8861,1974.78
7/12/13,UAL9693,1974.78
7/12/13,ANA6879,1974.78
7/12/13,DLH9497,1974.78
7/12/13,ACA7375,1974.78
7/12/13,UIA8701,259.19
7/12/13,MDA348,259.19
7/12/13,MDA370,612.62
7/12/13,MDA784,311.54
7/12/13,UIA8995,395.28
7/12/13,UIA8636,311.54
7/12/13,UIA8698,259.19
7/12/13,MDA368,612.62
7/12/13,FDX1283,1089.85
7/12/13,CLG291,1950.35
7/12/13,H14410,762.17
7/12/13,FXT4386,762.17
7/12/13,A12386,762.17
7/12/13,BAV1212,1152.15
7/12/13,SEJ74,996.39
7/12/13,BTK6872,633.63
7/12/13,SJV874,633.63
7/12/13,CHB6325,1586.62
7/12/13,CXA8642,1808.07
7/12/13,CSZ9727,1903.62
7/12/13,CSN6593,1297.89
7/12/13,EPA6306,1487.04
7/12/13,CHH7032,1903.62
7/12/13,CSN6726,1903.62
7/12/13,SJV875,633.63
7/12/13,WON1749,912.17
7/12/13,SJY83,633.63
7/12/13,SJV923,633.63
7/12/13,LNI347,633.63
7/12/13,EWG32,1167.77
7/12/13,EWG824,1604.7
7/12/13,EWG,1962.15
7/12/13,EWG26,1962.15
7/12/13,EWG12,1938.91
7/11/14,ANA1087,1866.19
7/11/14,MAS3633,235.49
7/11/14,AUA914,1508.65
7/11/14,LOT4062,1508.65
7/11/14,DLH7344,1508.65
7/11/14,DLA8861,1902.75
7/11/14,UAL9693,1902.75
7/11/14,ANA6879,1902.75
7/11/14,DLH9497,1902.75
7/11/14,ACA7375,1902.75
7/11/14,UIA8701,249.73
7/11/14,MDA348,249.73
7/11/14,MDA370,590.27
7/11/14,MDA784,300.18
7/11/14,UIA8995,380.86
7/11/14,UIA8636,300.18
7/11/14,UIA8698,249.73
7/11/14,MDA368,590.27
7/11/14,FDX1283,1050.1
7/11/14,CLG291,1879.21
7/11/14,H14410,734.37
7/11/14,FXT4386,734.37
7/11/14,A12386,734.37
7/11/14,BAV1212,1110.12
7/11/14,SEJ74,960.05
7/11/14,BTK6872,610.52
7/11/14,SJV874,610.52
7/11/14,CHB6325,1528.75
7/11/14,CXA8642,1742.11
7/11/14,CSN3839,1960.07
7/11/14,CSZ9727,1834.18
7/11/14,CSN6593,1250.55
7/11/14,CSZ9333,1988.86
7/11/14,EPA6306,1432.79
7/11/14,CHH7032,1834.18
7/11/14,CSN6726,1834.18
7/11/14,SJV875,610.52
7/11/14,WON1749,878.9
7/11/14,SJY83,610.52
7/11/14,SJV923,610.52
7/11/14,LNI347,610.52
7/11/14,RYR2813,1991.08
7/11/14,EWG32,1125.18
7/11/14,EWG824,1546.17
7/11/14,EWG,1890.57
7/11/14,EWG26,1890.57
7/11/14,EWG12,1868.19
7/10/15,ANA1087,1045.07
7/10/15,RYR8552,1795.63
7/10/15,MAS3633,131.87
7/10/15,AUA914,844.85
7/10/15,LOT4062,844.85
7/10/15,DLH7344,844.85
7/10/15,AFR1267,1609.19
7/10/15,CES1698,1609.19
7/10/15,KQA3807,1609.19
7/10/15,KLM2125,1609.19
7/10/15,GLO5159,1609.19
7/10/15,DAL8565,1609.19
7/10/15,VLG1502,1610.04
7/10/15,IBE5088,1610.04
7/10/15,KLM1638,1691.86
7/10/15,CES1823,1691.86
7/10/15,CXA9676,1691.86
7/10/15,KQA1638,1691.86
7/10/15,GLO5577,1691.86
7/10/15,DAL9478,1691.86
7/10/15,CSN1360,1691.86
7/10/15,DLA8861,1065.54
7/10/15,UAL9693,1065.54
7/10/15,ANA6879,1065.54
7/10/15,DLH9497,1065.54
7/10/15,ACA7375,1065.54
7/10/15,UIA8701,139.85
7/10/15,MDA348,139.85
7/10/15,MDA370,330.55
7/10/15,MDA784,168.1
7/10/15,UIA8995,213.28
7/10/15,UIA8636,168.1
7/10/15,UIA8698,139.85
7/10/15,MDA368,330.55
7/10/15,FDX1283,588.06
7/10/15,SNJ127,1501.03
7/10/15,ANA2527,1501.03
7/10/15,CLG291,1052.36
7/10/15,H14410,411.25
7/10/15,FXT4386,411.25
7/10/15,A12386,411.25
7/10/15,BAV1212,621.67
7/10/15,SEJ74,537.63
7/10/15,BTK6872,341.89
7/10/15,SJV874,341.89
7/10/15,CHB6325,856.1
7/10/15,CXA8642,975.58
7/10/15,CHB6319,1129.17
7/10/15,CSN3839,1097.64
7/10/15,CSZ9727,1027.14
7/10/15,CES5830,1800.53
7/10/15,CQH6292,1264.9
7/10/15,CGH1039,1218.49
7/10/15,CSN6593,700.31
7/10/15,CSZ9333,1113.76
7/10/15,CSN8537,1178.92
7/10/15,CCA8302,1296
7/10/15,CSN8415,1592.24
7/10/15,CSN5139,1592.24
7/10/15,EPA6306,802.36
7/10/15,LKE9525,1205.8
7/10/15,CHH7032,1027.14
7/10/15,CHH7686,1181.92
7/10/15,CSH9566,1296
7/10/15,CSN6726,1027.14
7/10/15,SJV875,341.89
7/10/15,WON1749,492.18
7/10/15,SJY83,341.89
7/10/15,SJV923,341.89
7/10/15,LNI347,341.89
7/10/15,EWG844,1619.78
7/10/15,RYR2813,1115.01
7/10/15,EWG32,630.1
7/10/15,EWG756,1565.68
7/10/15,AUA8918,1565.68
7/10/15,EWG824,865.85
7/10/15,EWG,1058.72
7/10/15,EWG26,1058.72
7/10/15,EWG12,1046.19
7/10/15,ABR257,1624.52
7/8/16,UBE401,1793.39
7/8/16,ANA1087,867.78
7/8/16,RYR8552,1491.01
7/8/16,MAS3633,109.5
7/8/16,AUA914,701.52
7/8/16,LOT4062,701.52
7/8/16,DLH7344,701.52
7/8/16,AFR1267,1336.2
7/8/16,CES1698,1336.2
7/8/16,KQA3807,1336.2
7/8/16,KLM2125,1336.2
7/8/16,GLO5159,1336.2
7/8/16,DAL8565,1336.2
7/8/16,VLG1502,1336.91
7/8/16,IBE5088,1336.91
7/8/16,KLM1638,1404.85
7/8/16,CES1823,1404.85
7/8/16,CXA9676,1404.85
7/8/16,KQA1638,1404.85
7/8/16,GLO5577,1404.85
7/8/16,DAL9478,1404.85
7/8/16,CSN1360,1404.85
7/8/16,DLA8861,884.78
7/8/16,UAL9693,884.78
7/8/16,ANA6879,884.78
7/8/16,DLH9497,884.78
7/8/16,ACA7375,884.78
7/8/16,UIA8701,116.12
7/8/16,MDA348,116.12
7/8/16,MDA370,274.48
7/8/16,MDA784,139.58
7/8/16,UIA8995,177.1
7/8/16,UIA8636,139.58
7/8/16,UIA8698,116.12
7/8/16,MDA368,274.48
7/8/16,FDX1283,488.3
7/8/16,SNJ127,1246.39
7/8/16,ANA2527,1246.39
7/8/16,CLG291,873.83
7/8/16,H14410,341.48
7/8/16,FXT4386,341.48
7/8/16,A12386,341.48
7/8/16,BAV1212,516.21
7/8/16,SEJ74,446.42
7/8/16,BTK6872,283.89
7/8/16,SJV874,283.89
7/8/16,CHB6419,1794.08
7/8/16,CHB6325,710.87
7/8/16,CXA8642,810.08
7/8/16,CSN6359,1796.83
7/8/16,CHB6319,937.61
7/8/16,CSN3839,911.43
7/8/16,CHB6223,1824.34
7/8/16,LKE9638,1794.08
7/8/16,CSZ9727,852.89
7/8/16,CES5830,1495.08
7/8/16,CQH6292,1050.32
7/8/16,CGH1039,1011.78
7/8/16,CSN6593,581.51
7/8/16,CSZ9333,924.82
7/8/16,CSN8537,978.93
7/8/16,CCA8302,1076.14
7/8/16,CSN8415,1322.13
7/8/16,CSN5139,1322.13
7/8/16,EPA6306,666.25
7/8/16,LKE9525,1001.24
7/8/16,CHH7032,852.89
7/8/16,CHH7686,981.41
7/8/16,CSH9566,1076.14
7/8/16,CSN6726,852.89
7/8/16,SJV875,283.89
7/8/16,WON1749,408.69
7/8/16,SJY83,283.89
7/8/16,SJV923,283.89
7/8/16,LNI347,283.89
7/8/16,EWG844,1345
7/8/16,RYR2813,925.85
7/8/16,EWG32,523.21
7/8/16,EWG756,1300.07
7/8/16,AUA8918,1300.07
7/8/16,EWG824,718.97
7/8/16,RYR1404,1802.87
7/8/16,EWG,879.12
7/8/16,EWG26,879.12
7/8/16,EWG12,868.71
7/8/16,ABR257,1348.93
7/7/17,UBE401,1829.2
7/7/17,ANA1087,885.11
7/7/17,RYR8552,1520.79
7/7/17,MAS3633,111.69
7/7/17,AUA914,715.53
7/7/17,LOT4062,715.53
7/7/17,DLH7344,715.53
7/7/17,AFR1267,1362.88
7/7/17,CES1698,1362.88
7/7/17,KQA3807,1362.88
7/7/17,KLM2125,1362.88
7/7/17,GLO5159,1362.88
7/7/17,DAL8565,1362.88
7/7/17,VLG1502,1363.6
7/7/17,IBE5088,1363.6
7/7/17,KLM1638,1432.91
7/7/17,CES1823,1432.91
7/7/17,CXA9676,1432.91
7/7/17,KQA1638,1432.91
7/7/17,GLO5577,1432.91
7/7/17,DAL9478,1432.91
7/7/17,CSN1360,1432.91
7/7/17,DLA8861,902.45
7/7/17,UAL9693,902.45
7/7/17,ANA6879,902.45
7/7/17,DLH9497,902.45
7/7/17,ACA7375,902.45
7/7/17,UIA8701,118.44
7/7/17,MDA348,118.44
7/7/17,MDA370,279.96
7/7/17,MDA784,142.37
7/7/17,UIA8995,180.64
7/7/17,UIA8636,142.37
7/7/17,UIA8698,118.44
7/7/17,MDA368,279.96
7/7/17,FDX1283,498.05
7/7/17,SNJ127,1271.28
7/7/17,ANA2527,1271.28
7/7/17,CLG291,891.28
7/7/17,H14410,348.3
7/7/17,FXT4386,348.3
7/7/17,A12386,348.3
7/7/17,BAV1212,526.51
7/7/17,SEJ74,455.34
7/7/17,BTK6872,289.56
7/7/17,SJV874,289.56
7/7/17,CHB6419,1829.9
7/7/17,CHB6325,725.06
7/7/17,CXA8642,826.26
7/7/17,CSN6359,1832.71
7/7/17,CHB6319,956.33
7/7/17,CSN3839,929.63
7/7/17,CHB6223,1860.77
7/7/17,LKE9638,1829.9
7/7/17,CSZ9727,869.93
7/7/17,CES5830,1524.94
7/7/17,CQH6292,1071.29
7/7/17,CGH1039,1031.99
7/7/17,CSN6593,593.12
7/7/17,CSZ9333,943.29
7/7/17,CSN8537,998.48
7/7/17,CCA8302,1097.63
7/7/17,CSN8415,1348.53
7/7/17,CSN5139,1348.53
7/7/17,EPA6306,679.55
7/7/17,LKE9525,1021.24
7/7/17,CHH7032,869.93
7/7/17,CHH7686,1001.01
7/7/17,CSH9566,1097.63
7/7/17,CSN6726,869.93
7/7/17,SJV875,289.56
7/7/17,WON1749,416.85
7/7/17,SJY83,289.56
7/7/17,SJV923,289.56
7/7/17,LNI347,289.56
7/7/17,EWG844,1371.86
7/7/17,RYR2813,944.34
7/7/17,EWG32,533.66
7/7/17,EWG756,1326.03
7/7/17,AUA8918,1326.03
7/7/17,EWG824,733.32
7/7/17,RYR1404,1838.88
7/7/17,EWG,896.67
7/7/17,EWG26,896.67
7/7/17,EWG12,886.05
7/7/17,ABR257,1375.87
7/13/18,ANA1087,1391.65
7/13/18,MAS3633,175.6
7/13/18,AUA914,1125.02
7/13/18,LOT4062,1125.02
7/13/18,DLH7344,1125.02
7/13/18,DLA8861,1418.91
7/13/18,UAL9693,1418.91
7/13/18,ANA6879,1418.91
7/13/18,DLH9497,1418.91
7/13/18,ACA7375,1418.91
7/13/18,UIA8701,186.23
7/13/18,MDA348,186.23
7/13/18,MDA370,440.17
7/13/18,MDA784,223.85
7/13/18,UIA8995,284.01
7/13/18,UIA8636,223.85
7/13/18,UIA8698,186.23
7/13/18,MDA368,440.17
7/13/18,FDX1283,783.08
7/13/18,SNJ127,1998.82
7/13/18,ANA2527,1998.82
7/13/18,CLG291,1401.35
7/13/18,H14410,547.63
7/13/18,FXT4386,547.63
7/13/18,A12386,547.63
7/13/18,BAV1212,827.83
7/13/18,SEJ74,715.92
7/13/18,BTK6872,455.27
7/13/18,SJV874,455.27
7/13/18,CHB6325,1140.01
7/13/18,CXA8642,1299.12
7/13/18,CHB6319,1503.63
7/13/18,CSN3839,1461.65
7/13/18,CSZ9727,1367.77
7/13/18,CQH6292,1684.38
7/13/18,CGH1039,1622.58
7/13/18,CSN6593,932.55
7/13/18,CSZ9333,1483.12
7/13/18,CSN8537,1569.89
7/13/18,CCA8302,1725.8
7/13/18,EPA6306,1068.45
7/13/18,LKE9525,1605.68
7/13/18,CHH7032,1367.77
7/13/18,CHH7686,1573.88
7/13/18,CSH9566,1725.8
7/13/18,CSN6726,1367.77
7/13/18,SJV875,455.27
7/13/18,WON1749,655.41
7/13/18,SJY83,455.27
7/13/18,SJV923,455.27
7/13/18,LNI347,455.27
7/13/18,RYR2813,1484.78
7/13/18,EWG32,839.06
7/13/18,EWG824,1153
7/13/18,EWG,1409.83
7/13/18,EWG26,1409.83
7/13/18,EWG12,1393.13
7/12/19,ANA1087,1333.66
7/12/19,MAS3633,168.29
7/12/19,AUA914,1078.15
7/12/19,LOT4062,1078.15
7/12/19,DLH7344,1078.15
7/12/19,DLA8861,1359.79
7/12/19,UAL9693,1359.79
7/12/19,ANA6879,1359.79
7/12/19,DLH9497,1359.79
7/12/19,ACA7375,1359.79
7/12/19,UIA8701,178.47
7/12/19,MDA348,178.47
7/12/19,MDA370,421.83
7/12/19,MDA784,214.52
7/12/19,UIA8995,272.18
7/12/19,UIA8636,214.52
7/12/19,UIA8698,178.47
7/12/19,MDA368,421.83
7/12/19,FDX1283,750.45
7/12/19,SNJ127,1915.53
7/12/19,ANA2527,1915.53
7/12/19,,540.75
7/12/19,CLG291,1342.97
7/12/19,H14410,524.81
7/12/19,FXT4386,524.81
7/12/19,A12386,524.81
7/12/19,BAV1212,793.34
7/12/19,SEJ74,686.09
7/12/19,BTK6872,436.3
7/12/19,SJV874,436.3
7/12/19,CHB6325,1092.51
7/12/19,CXA8642,1244.99
7/12/19,CHB6319,1440.98
7/12/19,CSN3839,1400.75
7/12/19,CSZ9727,1310.78
7/12/19,CQH6292,1614.2
7/12/19,CGH1039,1554.97
7/12/19,CSN6593,893.7
7/12/19,CSZ9333,1421.32
7/12/19,CSN8537,1504.48
7/12/19,CCA8302,1653.89
7/12/19,EPA6306,1023.94
7/12/19,LKE9525,1538.77
7/12/19,CHH7032,1310.78
7/12/19,CHH7686,1508.3
7/12/19,CSH9566,1653.89
7/12/19,CSN6726,1310.78
7/12/19,SJV875,436.3
7/12/19,WON1749,628.1
7/12/19,SJY83,436.3
7/12/19,SJV923,436.3
7/12/19,LNI347,436.3
7/12/19,RYR2813,1422.91
7/12/19,EWG32,804.1
7/12/19,EWG756,1998.03
7/12/19,AUA8918,1998.03
7/12/19,EWG824,1104.96
7/12/19,EWG,1351.09
7/12/19,EWG26,1351.09
7/12/19,EWG12,1335.09
7/10/20,UBE401,1502.75
7/10/20,ANA1087,727.15
7/10/20,RYR8552,1249.38
7/10/20,MAS3633,91.76
7/10/20,AUA914,587.84
7/10/20,LOT4062,587.84
7/10/20,DLH7344,587.84
7/10/20,AFR1267,1119.66
7/10/20,CES1698,1119.66
7/10/20,KQA3807,1119.66
7/10/20,KLM2125,1119.66
7/10/20,GLO5159,1119.66
7/10/20,DAL8565,1119.66
7/10/20,VLG1502,1120.25
7/10/20,IBE5088,1120.25
7/10/20,KLM1638,1177.18
7/10/20,CES1823,1177.18
7/10/20,CXA9676,1177.18
7/10/20,KQA1638,1177.18
7/10/20,GLO5577,1177.18
7/10/20,DAL9478,1177.18
7/10/20,CSN1360,1177.18
7/10/20,DLA8861,741.39
7/10/20,UAL9693,741.39
7/10/20,ANA6879,741.39
7/10/20,DLH9497,741.39
7/10/20,ACA7375,741.39
7/10/20,UIA8701,97.31
7/10/20,MDA348,97.31
7/10/20,MDA370,229.99
7/10/20,MDA784,116.96
7/10/20,UIA8995,148.4
7/10/20,UIA8636,116.96
7/10/20,UIA8698,97.31
7/10/20,MDA368,229.99
7/10/20,FDX1283,409.16
7/10/20,SNJ127,1044.4
7/10/20,ANA2527,1044.4
7/10/20,CLG291,732.22
7/10/20,H14410,286.14
7/10/20,FXT4386,286.14
7/10/20,A12386,286.14
7/10/20,BAV1212,432.55
7/10/20,SEJ74,374.07
7/10/20,BTK6872,237.88
7/10/20,SJV874,237.88
7/10/20,CHB6419,1503.33
7/10/20,CHB6325,595.67
7/10/20,CXA8642,678.8
7/10/20,CSN6359,1505.64
7/10/20,CHB6319,785.66
7/10/20,CSN3839,763.73
7/10/20,CHB6223,1528.69
7/10/20,LKE9638,1503.33
7/10/20,CSZ9727,714.68
7/10/20,CES5830,1252.79
7/10/20,CQH6292,880.1
7/10/20,CGH1039,847.81
7/10/20,CSN6593,487.27
7/10/20,CSZ9333,774.94
7/10/20,CSN8537,820.28
7/10/20,CCA8302,901.74
7/10/20,CSN8415,1107.87
7/10/20,CSN5139,1107.87
7/10/20,EPA6306,558.28
7/10/20,LKE9525,838.98
7/10/20,CHH7032,714.68
7/10/20,CHH7686,822.37
7/10/20,CSH9566,901.74
7/10/20,CSN6726,714.68
7/10/20,SJV875,237.88
7/10/20,WON1749,342.46
7/10/20,SJY83,237.88
7/10/20,SJV923,237.88
7/10/20,LNI347,237.88
7/10/20,EWG844,1127.03
7/10/20,RYR2813,775.81
7/10/20,EWG32,438.42
